"","DATE",".mean"
"1",2010-05-01,85
"2",2010-05-02,85
"3",2010-05-03,85
"4",2010-05-04,85
"5",2010-05-05,85
"6",2010-05-06,85
"7",2010-05-07,85
"8",2010-05-08,85
"9",2010-05-09,85
"10",2010-05-10,85
"11",2010-05-11,85
"12",2010-05-12,85
"13",2010-05-13,85
"14",2010-05-14,85
"15",2010-05-15,85
"16",2010-05-16,85
"17",2010-05-17,85
"18",2010-05-18,85
"19",2010-05-19,85
"20",2010-05-20,85
"21",2010-05-21,85
"22",2010-05-22,85
"23",2010-05-23,85
"24",2010-05-24,85
"25",2010-05-25,85
"26",2010-05-26,85
"27",2010-05-27,85
"28",2010-05-28,85
"29",2010-05-29,85
"30",2010-05-30,85
"31",2010-05-31,85
